"entity";"status";"labellang";"label";"descriptionlang";"description";"instanceofQ";"instanceof";"sexQ";"sex";"bdate";"byear";"bplaceQ";"bplace";"bplaceLat";"bplaceLon";"bcountryQ";"bcountry";"ddate";"dyear";"dplaceQ";"dplace";"dplaceLat";"dplaceLon";"dcountryQ";"dcountry";"occupationQ";"occupation";"notableworkQ";"notablework";"educatedatQ";"educatedat";"fieldofworkQ";"fieldofwork";"movementQ";"movement";"genreQ";"genre";"influencedbyQ";"influencedby";"memberofQ";"memberof";"awardQ";"award";"viafid";"bneid";"mncarsid";"pic";"wikipedias"
"Q1346145";"OK";"es";"Giuseppe Abbati";"es";"pintor italiano";"Q5";"ser humano";"Q6581097";"masculino";"+1836-01-13T00:00:00Z";"1836";"Q2634";"Nápoles";"40.835833333";"14.248611111";"Q38";"Italia";"+1868-02-21T00:00:00Z";"1868";"Q2044";"Florencia";"43.771388888";"11.254166666";"Q38";"Italia";"Q1028181|Q3564543";"pintor|Garibaldino";NA;NA;"Q338505";"Accademia di Belle Arti di Venezia";NA;NA;"Q574985";"macchiaioli";NA;NA;NA;NA;"Q574985";"macchiaioli";NA;NA;"22938823";"XX1069583";NA;"https://commons.wikimedia.org/wiki/Special:FilePath/Giuseppe_Abbati%20Autoritratto.jpg";"https://es.wikipedia.org/wiki/Giuseppe_Abbati"
"Q2058686";"OK";"es";"Paul Alexis";"es";"Novelista, dramaturgo y periodista (1847-1901)";"Q5";"ser humano";"Q6581097";"masculino";"+1847-06-16T00:00:00Z";"1847";"Q47465";"Aix-en-Provence";"43.527777777";"5.445555555";"Q142";"Francia";"+1901-07-28T00:00:00Z";"1901";"Q166640";"Levallois-Perret";"48.893333333";"2.287777777";"Q142";"Francia";"Q1930187|Q49757|Q6625963|Q214917|Q36180";"periodista|poeta|novelista|dramaturgo|escritor";NA;NA;"Q1204304";"Universidad Paul Cézanne Aix-Marseille III";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"68924516";"XX1180883";NA;"https://commons.wikimedia.org/wiki/Special:FilePath/Paul_Alexis%20lisant%20%C3%A0%20%C3%89mile%20Zola,%20par%20Paul%20C%C3%A9zanne.jpg";"https://es.wikipedia.org/wiki/Paul_Alexis"
"Q253446";"OK";"es";"Anna Ancher";"es";"pintora impresionista danesa";"Q5";"ser humano";"Q6581072";"femenino";"+1859-08-18T00:00:00Z";"1859";"Q215177";"Skagen";"57.722222222";"10.587777777";"Q35";"Dinamarca";"+1935-04-15T00:00:00Z";"1935";"Q215177";"Skagen";"57.722222222";"10.587777777";"Q35";"Dinamarca";"Q1028181|Q483501";"pintor|artista";"Q18599455|Q21044818|Q22675180|Q20491541";"Michael Ancher Painting on the Shore|The maid in the kitchen|A field sermon|A Funeral";NA;NA;NA;NA;"Q40415";"impresionismo";"Q134307";"retrato";NA;NA;"Q726483";"Pintores de Skagen";"Q1800376|Q3352524|Q2345755";"Tagea Brandt Rejselegat|Medalla Eckersberg|Ingenio et arti";"69035798";NA;NA;"https://commons.wikimedia.org/wiki/Special:FilePath/Anna_Ancher%20Royal%20Library%20of%20Denmark1.jpg";"https://es.wikipedia.org/wiki/Anna_Ancher"
"Q723350";"OK";"es";"Ion Andreescu";"es";"pintor rumano";"Q5";"ser humano";"Q6581097";"masculino";"+1850-02-15T00:00:00Z";"1850";"Q19660";"Bucarest";"44.413361111";"26.097777777";"Q218";"Rumania";"+1882-10-22T00:00:00Z";"1882";"Q19660";"Bucarest";"44.413361111";"26.097777777";"Q218";"Rumania";"Q1028181";"pintor";NA;NA;"Q337480|Q2983884";"Academia Julian|Gheorghe Lazăr National College";"Q11629";"pintura";"Q40415";"impresionismo";"Q134307";"retrato";"Q454321";"Nicolae Grigorescu";NA;NA;NA;NA;"47555567";"XX1193598";NA;"https://commons.wikimedia.org/wiki/Special:FilePath/Self-Portrait_Ion%20Andreescu%201882.jpg";"https://es.wikipedia.org/wiki/Ion_Andreescu"
"Q1063574";"OK";"es";"Charles Angrand";"es";"pintor francés";"Q5";"ser humano";"Q6581097";"masculino";"+1854-04-19T00:00:00Z";"1854";"Q1134553";"Criquetot-sur-Ouville";"49.676388888";"0.846111111";"Q142";"Francia";"+1926-04-01T00:00:00Z";"1926";"Q30974";"Ruán";"49.443055555";"1.1025";"Q142";"Francia";"Q1028181|Q15296811|Q2144983";"pintor|dibujante|repetitor";"Q17491134|Q17493810";"Hombre y mujer por la calle|Les Villottes";"Q627006";"escuela normal";"Q11629";"pintura";"Q200034|Q258694|Q858436|Q164800";"puntillismo|Las Artes Incoherentes|neorealism|simbolismo";"Q134307";"retrato";NA;NA;"Q16962140";"Société Normande de Peinture Moderne";NA;NA;"73893847";NA;NA;"https://commons.wikimedia.org/wiki/Special:FilePath/Self_Portrait%20Charles%20Angrand.jpg";"https://es.wikipedia.org/wiki/Charles_Angrand"
"Q287524";"OK";"es";"Louis Anquetin";"es";"pintor francés";"Q5";"ser humano";"Q6581097";"masculino";"+1861-01-26T00:00:00Z";"1861";"Q841022";"Étrépagny";"49.305833333";"1.611388888";"Q142";"Francia";"+1932-08-19T00:00:00Z";"1932";"Q90";"París";"48.856666666";"2.352222222";"Q142";"Francia";"Q1028181|Q16947657|Q13235160";"pintor|litógrafo|productor";"Q17491649|Q17491926|Q17495340";"Henri Samary|Q17491926|Q17495340";"Q3268638";"Liceo Pierre-Corneille";NA;NA;"Q889525";"Cloisonismo";"Q134307";"retrato";NA;NA;"Q675016";"Société nationale des beaux-arts";"Q10855271";"Caballero de la Orden Nacional de la Legión de Honor";"59129798";NA;NA;"https://commons.wikimedia.org/wiki/Special:FilePath/Louis_anquetin%20autoportrait%20au%20chevalet%20021334).jpg";"https://es.wikipedia.org/wiki/Louis_Anquetin"
"Q50656";"OK";"es";"Zacharie Astruc";"es";"pintor, escultor, poeta y crítico de arte francés";"Q5";"ser humano";"Q6581097";"masculino";"+1833-02-23T00:00:00Z";"1833";"Q38380";"Angers";"47.472777777";"-0.555555555";"Q142";"Francia";"+1907-05-24T00:00:00Z";"1907";"Q90";"París";"48.856666666";"2.352222222";"Q142";"Francia";"Q1281618|Q4164507|Q1028181|Q49757|Q36834|Q1930187";"escultor|crítico de arte|pintor|poeta|compositor|periodista";"Q18191165";"Le Marchand de masques";NA;NA;"Q11629";"pintura";NA;NA;NA;NA;NA;NA;NA;NA;"Q10855271";"Caballero de la Orden Nacional de la Legión de Honor";"9877616";"XX1509291";NA;"https://commons.wikimedia.org/wiki/Special:FilePath/Zacharie_Astruc%20by%20F%C3%A9lix%20Bracquemond.jpg";"https://es.wikipedia.org/wiki/Zacharie_Astruc"
"Q2853933";"OK";"es";"Antoine Ferdinand Attendu";"es";"pintor francés";"Q5";"ser humano";"Q6581097";"masculino";"+1845-04-25T00:00:00Z";"1845";"Q90";"París";"48.856666666";"2.352222222";"Q142";"Francia";"+1917-03-14T00:00:00Z";"1917";"Q1624834";"Graves-Saint-Amant";"45.643888888";"-0.094166666";"Q142";"Francia";"Q1028181";"pintor";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"96648133";NA;NA;NA;NA
"Q2714600";"OK";"es";"Albert Aurier";"es";"artista francés";"Q5";"ser humano";"Q6581097";"masculino";"+1865-05-05T00:00:00Z";"1865";"Q174251";"Châteauroux";"46.809722222";"1.690277777";"Q142";"Francia";"+1892-10-05T00:00:00Z";"1892";"Q90";"París";"48.856666666";"2.352222222";"Q142";"Francia";"Q10732476|Q49757|Q36180|Q4164507|Q1930187";"coleccionista de arte|poeta|escritor|crítico de arte|periodista";NA;NA;NA;NA;NA;NA;"Q164800";"simbolismo";NA;NA;NA;NA;NA;NA;NA;NA;"66516424";NA;NA;"https://commons.wikimedia.org/wiki/Special:FilePath/Aurier,_Albert,%20BNF%20Gallica.jpg";NA
"Q239432";"OK";"es";"Jane Avril";"es";"bailarina francesa";"Q5";"ser humano";"Q6581072";"femenino";"+1868-06-09T00:00:00Z";"1868";"Q210720";"XX Distrito de París";"48.865061111";"2.39905";"Q142";"Francia";"+1943-01-17T00:00:00Z";"1943";"Q191066";"XV distrito de París";"48.841327777";"2.300291666";"Q142";"Francia";"Q5716684|Q1630100";"bailarín|modelo artístico";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"64114207";NA;NA;"https://commons.wikimedia.org/wiki/Special:FilePath/Jeanne_Avril.jpg";"https://es.wikipedia.org/wiki/Jane_Avril"
